Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
12 - 58 | 0.000169006
12 - 59 | 1.43689e-05
12 - 60 | -3.07845e-05
12 - 61 | 3.74906e-05
12 - 62 | -3.50373e-05
12 - 63 | 4.88421e-06
12 - 64 | 0.000130981
12 - 65 | 6.46044e-05
12 - 66 | 8.08846e-06
13 - 0 | 0.000160399
13 - 1 | 0.000155104
13 - 2 | 2.55465e-07
13 - 3 | 8.97861e-05
13 - 4 | 0.000219232
13 - 5 | 0.000251557
13 - 6 | 0.000115283
13 - 7 | 1.80769e-07
13 - 8 | 8.56923e-05
13 - 9 | 1.58235e-05
13 - 10 | 0.000145725
13 - 11 | 0.00024836
13 - 12 | 0.000115804
13 - 13 | 5.35708e-05
13 - 14 | 1.02191e-07
13 - 15 | 5.07587e-05
13 - 16 | 1.26406e-06
13 - 17 | 6.98624e-05
13 - 18 | 0.00012454
13 - 19 | 0.000165375
13 - 20 | 4.64975e-05
13 - 21 | 6.43831e-07
13 - 22 | 6.02856e-05
13 - 23 | 1.52796e-05
13 - 24 | 3.61677e-05
13 - 25 | 0.000101508
13 - 26 | 6.50351e-05
13 - 27 | 0.000100013
13 - 28 | 5.3021e-05
13 - 29 | 3.9927e-07
13 - 30 | 2.92253e-05
13 - 31 | -2.14542e-06
13 - 32 | -8.40989e-06
13 - 33 | 5.71845e-05
13 - 34 | 7.51096e-05
13 - 35 | 5.24829e-05
13 - 36 | 3.78282e-05
13 - 37 | 2.93536e-05
